IDs,Aff,RF,DNN,Dock_score,emodel,Tanimoto
CHEMBL3689587,8.7,8.91,8.17,-14.3915264,-106.1418968,0.792452812
CHEMBL507594,5.85,6.32,5.47,-3.725530555,-46.91052477,0.978260875
CHEMBL2397797,6.74,6.27,6.15,-10.59104481,-76.7208786,0.870370388
CHEMBL3685013,9,8.85,9.6,-12.64787643,-80.21141344,0.769230783
CHEMBL475739,6.01,6.38,5.73,-5.809037657,-56.60978736,0.836363614
CHEMBL3685137,9,8.75,9.09,-12.67271472,-75.23502461,0.75999999
CHEMBL3689601,8.7,9.04,8.03,-14.08155109,-123.9098896,0.827586234
CHEMBL1775040,6.47,6.48,5.32,-6.648000973,-55.73204503,0.800000012
CHEMBL3689755,7.47,8.51,7.83,-14.93351159,-83.06327206,0.694915235
CHEMBL238561,7.22,6.36,5.86,-7.2148413,-76.33824158,0.850000024
CHEMBL1775039,7.05,6.43,6.15,-7.132931369,-72.73028648,0.893939376
CHEMBL3685055,10.15,8.89,8.67,-12.85419627,-68.73489532,0.792452812
CHEMBL1241489,7.16,7.03,4.81,-5.181507488,-51.10574722,0.755102038
CHEMBL3685197,8.4,8.3,7.96,-9.472049006,-54.71816254,0.720000029
CHEMBL406658,7.1,6.23,5.98,-9.46372314,-74.91880326,0.920000017
CHEMBL3685140,9.15,9.07,9.03,-15.57721157,-155.5084686,0.79411763
CHEMBL516070,6.66,6.4,5.81,-5.03661925,-74.98758024,0.896551728
CHEMBL3685061,7.89,8.23,7.49,-13.03015253,-80.7222129,0.673076928
CHEMBL3685079,8.52,8.56,7.49,-12.15142812,-81.89061972,0.787234068
CHEMBL3689540,9.52,9.08,8.87,-13.57792205,-104.9609314,0.826923072
CHEMBL3684995,8.22,8.35,7,-12.27046077,-76.46499789,0.975609779
CHEMBL3689683,6.67,8.429,6.756,-8.896221625,-72.83280398,0.568965495
CHEMBL3685124,9.7,8.57,7.63,-12.85695104,-84.88576031,0.839285731
